Id;PublicationDate;Title;Name;NormalizedName;WebUrl
4844;2006-09-01;David Nicholson;David Nicholson;David Nicholson;https://www.independent.co.uk/news/obituaries/david-nicholson-414207.html
4845;2006-09-02;Sir Kyffin Williams;Sir Kyffin Williams;Kyffin Williams;https://www.independent.co.uk/news/obituaries/sir-kyffin-williams-414343.html
4846;2006-09-05;Dewey Redman;Dewey Redman;Dewey Redman;https://www.independent.co.uk/news/obituaries/dewey-redman-414684.html
4847;2006-09-06;Astrid Varnay;Astrid Varnay;Astrid Varnay;https://www.independent.co.uk/news/obituaries/astrid-varnay-414796.html
4848;2006-09-06;Carlos Castaño;Carlos Castaño;Carlos Castaño;https://www.independent.co.uk/news/obituaries/carlos-casta-ntilde-o-414777.html
4849;2006-09-06;Professor Alan Raitt;Professor Alan Raitt;Alan Raitt;https://www.independent.co.uk/news/obituaries/professor-alan-raitt-414790.html
4850;2006-09-07;Ian Hamer;Ian Hamer;Ian Hamer;https://www.independent.co.uk/news/obituaries/ian-hamer-414899.html
4851;2006-09-07;Zelda Barron;Zelda Barron;Zelda Barron;https://www.independent.co.uk/news/obituaries/zelda-barron-414892.html
4852;2006-09-07;Ronald Mansbridge;Ronald Mansbridge;Ronald Mansbridge;https://www.independent.co.uk/news/obituaries/ronald-mansbridge-414906.html
4853;2006-09-09;Remy Belvaux;Remy Belvaux;Remy Belvaux;https://www.independent.co.uk/news/obituaries/remy-belvaux-415287.html
4854;2006-09-09;Professor Vernon Ingram;Professor Vernon Ingram;Vernon Ingram;https://www.independent.co.uk/news/obituaries/professor-vernon-ingram-415286.html
4855;2006-09-12;King Taufa'ahau Tupou IV Of Tonga;King Taufa'ahau Tupou IV Of Tonga;King Taufa'ahau Tupou IV Of Tonga;https://www.independent.co.uk/news/obituaries/king-taufa-ahau-tupou-iv-of-tonga-415618.html
4856;2006-09-14;Joachim Fest;Joachim Fest;Joachim Fest;https://www.independent.co.uk/news/obituaries/joachim-fest-415868.html
4857;2006-09-14;Brigadier James Wilson;Brigadier James Wilson;James Wilson;https://www.independent.co.uk/news/obituaries/brigadier-james-wilson-415886.html
4858;2006-09-15;John Weinzweig;John Weinzweig;John Weinzweig;https://www.independent.co.uk/news/obituaries/john-weinzweig-416053.html
4859;2006-09-15;Professor Peter Ganz;Professor Peter Ganz;Peter Ganz;https://www.independent.co.uk/news/obituaries/professor-peter-ganz-416037.html
4860;2006-09-16;Hilary Mason;Hilary Mason;Hilary Mason;https://www.independent.co.uk/news/obituaries/hilary-mason-416277.html
4861;2006-09-18;Raymond Baxter;Raymond Baxter;Raymond Baxter;https://www.independent.co.uk/news/obituaries/raymond-baxter-416502.html
4862;2006-09-19;Douglas Henderson;Douglas Henderson;Douglas Henderson;https://www.independent.co.uk/news/obituaries/douglas-henderson-416599.html
4863;2006-09-19;The Right Rev David Say;The Right Rev David Say;David Say;https://www.independent.co.uk/news/obituaries/the-right-rev-david-say-416600.html
4864;2006-09-20;Al Casey;Al Casey;Al Casey;https://www.independent.co.uk/news/obituaries/al-casey-416696.html
4865;2006-09-20;Hilda Bernstein;Hilda Bernstein;Hilda Bernstein;https://www.independent.co.uk/news/obituaries/hilda-bernstein-416691.html
4866;2006-09-21;Mickey Hargitay;Mickey Hargitay;Mickey Hargitay;https://www.independent.co.uk/news/obituaries/mickey-hargitay-416860.html
4867;2006-09-23;Chuck Rio;Chuck Rio;Chuck Rio;https://www.independent.co.uk/news/obituaries/chuck-rio-417181.html
4868;2006-09-23;E. H. H. Green;E. H. H. Green;E. H. H. Green;https://www.independent.co.uk/news/obituaries/e-h-h-green-417179.html
4869;2006-09-25;Boz Burrell;Boz Burrell;Boz Burrell;https://www.independent.co.uk/news/obituaries/boz-burrell-417457.html
4870;2006-09-27;Etta Baker;Etta Baker;Etta Baker;https://www.independent.co.uk/news/obituaries/etta-baker-417655.html
4871;2006-09-27;Peter Ling;Peter Ling;Peter Ling;https://www.independent.co.uk/news/obituaries/peter-ling-417668.html
4872;2006-09-27;Henry Townsend;Henry Townsend;Henry Townsend;https://www.independent.co.uk/news/obituaries/henry-townsend-417676.html
4873;2006-09-28;Sir Norman Blacklock;Sir Norman Blacklock;Norman Blacklock;https://www.independent.co.uk/news/obituaries/sir-norman-blacklock-417778.html
4874;2006-09-28;Metropolitan Vitaly Ustinov;Metropolitan Vitaly Ustinov;Vitaly Ustinov;https://www.independent.co.uk/news/obituaries/metropolitan-vitaly-ustinov-417796.html
4875;2006-09-29;David Channer;David Channer;David Channer;https://www.independent.co.uk/news/obituaries/david-channer-6231241.html
4876;2006-09-30;John M. Ford;John M. Ford;John M. Ford;https://www.independent.co.uk/news/obituaries/john-m-ford-418123.html
4877;2006-10-02;Walter Hadlee;Walter Hadlee;Walter Hadlee;https://www.independent.co.uk/news/obituaries/walter-hadlee-418404.html
4878;2006-10-02;William C. Norris;William C. Norris;William C. Norris;https://www.independent.co.uk/news/obituaries/william-c-norris-418405.html
4879;2006-10-03;Uncle Josh Graves;Uncle Josh Graves;Uncle Josh Graves;https://www.independent.co.uk/news/obituaries/uncle-josh-graves-418522.html
4880;2006-10-03;Professor James Scott;Professor James Scott;James Scott;https://www.independent.co.uk/news/obituaries/professor-james-scott-418521.html
4881;2006-10-04;Simon Sainsbury;Simon Sainsbury;Simon Sainsbury;https://www.independent.co.uk/news/obituaries/simon-sainsbury-418613.html
4882;2006-10-04;Professor Arthur Marwick;Professor Arthur Marwick;Arthur Marwick;https://www.independent.co.uk/news/obituaries/professor-arthur-marwick-418608.html
4883;2006-10-05;Ngaio Crequer;Ngaio Crequer;Ngaio Crequer;https://www.independent.co.uk/news/obituaries/ngaio-crequer-418721.html
4884;2006-10-06;Luckner Cambronne;Luckner Cambronne;Luckner Cambronne;https://www.independent.co.uk/news/obituaries/luckner-cambronne-418865.html
4885;2006-10-09;Anna Politkovskaya;Anna Politkovskaya;Anna Politkovskaya;https://www.independent.co.uk/news/obituaries/anna-politkovskaya-419307.html
4886;2006-10-10;Don Thompson;Don Thompson;Don Thompson;https://www.independent.co.uk/news/obituaries/don-thompson-6231113.html
4887;2006-10-10;Admiral of the Fleet Sir Michael Pollock;Admiral of the Fleet Sir Michael Pollock;of the Fleet Michael Pollock;https://www.independent.co.uk/news/obituaries/admiral-of-the-fleet-sir-michael-pollock-419409.html
4888;2006-10-11;Paul Hunter;Paul Hunter;Paul Hunter;https://www.independent.co.uk/news/obituaries/paul-hunter-419492.html
